ticket_id,created_at,first_response_minutes,resolved_at,resolution_hours,priority,sla_frt_limit_mins,sla_resolve_limit_days,category,channel,agent,team,escalated,escalation_type,escalation_tier,reopened
TKT-0200,01-27-2024 13:14:00,32.5,30/01/2024 08:44,67.5,high,40,3,Technical,Email,Agent_Kumar,T1,No,,,No
TKT-0462,23/08/2024 13:05,77.7,08-24-2024 21:41:00,32.6,medium,40,3,Account,Phone,Agent_Ali,T2,No,,,No
TKT-0356,26/11/2024 08:19,28.6,11-30-2024 20:01:00,107.7,medium,40,3,Billing,Portal,Agent_Patel,T1,Yes,Customer Requested,T2>T3,No
TKT-0034,10-26-2024 14:57:00,8.8,,,critical,15,1,Account,Email,Agent_Ali,T2,No,,,Yes
TKT-0475,17/11/2024 13:09,,2024-11-19 17:45:00,52.6,medium,40,3,Billing,Email,Agent_Ali,T1,No,,,No
TKT-0414,2024-08-08 15:56:00,29.1,08-10-2024 15:02:00,47.1,medium,40,3,Technical,Email,Agent_Sharma,T2,No,,,No
TKT-0488,21/01/2024 11:45,43.5,01-22-2024 06:03:00,18.3,low,45,7,Technical,Phone,Agent_Brown,T1,No,,,No
TKT-0026,05-18-2024 18:44:00,17.7,05-18-2024 19:50:00,1.1,high,40,3,Technical,Chat,Agent_Patel,T1,No,,,No
TKT-0452,2024-05-10 12:20:00,79.4,13/05/2024 05:26,65.1,medium,40,3,Account,Chat,Agent_Smith,T1,No,,,No
TKT-0254,02-07-2024 17:40:00,95.4,08/02/2024 00:52,7.2,medium,40,3,Technical,Email,Agent_Brown,T1,No,,,No
TKT-0381,07/09/2024 17:26,23.8,2024-09-10 01:14:00,55.8,low,45,7,Billing,Email,Agent_Ali,T1,No,,,No
TKT-0373,04-23-2024 18:04:00,9.3,27/04/2024 09:34,87.5,low,45,7,Account,Portal,Agent_Kumar,T3,Yes,Manager,T1>T3,No
TKT-0471,2024-03-19 18:04:00,11.4,26/03/2024 05:46,155.7,low,45,7,Account,Chat,Agent_Kumar,T2,Yes,Internal,T2>T3,No
TKT-0350,12-17-2024 08:58:00,20.6,18/12/2024 08:04,23.1,medium,40,3,Account,Email,Agent_Brown,T1,No,,,No
TKT-0493,27/11/2024 13:04,30.0,29/11/2024 11:16,46.2,low,45,7,Technical,Email,Agent_Chen,T1,No,,,No
TKT-0042,2024-05-16 18:21:00,37.4,2024-05-18 13:33:00,43.2,medium,40,3,Account,Phone,Agent_Kumar,T2,No,,,No
TKT-0441,2024-11-01 09:56:00,7.9,2024-11-10 02:14:00,208.3,low,45,7,Technical,Portal,Agent_Patel,T1,No,,,No
TKT-0255,01-28-2024 10:09:00,35.1,02-05-2024 11:03:00,192.9,low,45,7,Billing,Phone,Agent_Sharma,T1,No,,,No
TKT-0466,03-27-2024 09:32:00,,03-31-2024 10:32:00,97.0,medium,40,3,Technical,Email,Agent_Chen,T1,No,,,No
TKT-0472,11-17-2024 15:29:00,61.2,11-18-2024 00:11:00,8.7,critical,15,1,Hardware,Phone,Agent_Brown,T1,No,,,No
TKT-0305,08-29-2024 11:29:00,7.7,08-31-2024 18:41:00,55.2,high,40,3,Technical,Phone,Agent_Jones,T2,No,,,Yes
TKT-0422,27/10/2024 16:35,30.0,2024-10-30 11:47:00,67.2,high,40,3,Technical,Chat,Agent_Brown,T1,No,,,No
TKT-0326,09-06-2024 16:02:00,,,,high,40,3,Hardware,Email,Agent_Chen,T2,Yes,Manager,T1>T3,No
TKT-0430,20/10/2024 11:51,25.8,10-24-2024 09:39:00,93.8,low,45,7,Technical,Portal,Agent_Chen,T1,No,,,No
TKT-0172,16/08/2024 10:47,32.5,2024-08-18 13:17:00,50.5,low,45,7,Network,Portal,Agent_Brown,T1,No,,,Yes
TKT-0401,19/09/2024 17:06,,24/09/2024 13:54,116.8,low,45,7,Billing,Email,Agent_Sharma,T1,No,,,No
TKT-0288,17/06/2024 14:44,17.0,,,medium,40,3,Technical,Chat,Agent_Chen,T1,No,,,No
TKT-0416,2024-07-23 14:46:00,46.8,07-24-2024 15:28:00,24.7,medium,40,3,Technical,Portal,Agent_Patel,T3,No,,,No
TKT-0106,2024-06-02 18:06:00,8.1,06-05-2024 15:00:00,68.9,low,45,7,Technical,Email,Agent_Ali,T1,Yes,Manager,T1>T2,No
TKT-0232,12-19-2024 15:41:00,,21/12/2024 19:59,52.3,medium,40,3,Network,Email,Agent_Jones,T2,No,,,No
TKT-0211,2024-12-19 18:15:00,13.0,12-21-2024 16:03:00,45.8,medium,40,3,Network,Chat,Agent_Smith,T1,No,,,No
TKT-0051,05-02-2024 08:15:00,13.8,2024-05-02 10:51:00,2.6,critical,15,1,Technical,Portal,Agent_Sharma,T3,No,,,No
TKT-0330,2024-12-26 09:28:00,12.2,,,low,45,7,Technical,Chat,Agent_Kumar,T2,Yes,Manager,T1>T3,No
TKT-0360,08/03/2024 16:56,17.4,12/03/2024 21:44,100.8,medium,40,3,Billing,Chat,Agent_Patel,T3,No,,,Yes
TKT-0089,2024-09-17 09:54:00,10.4,2024-09-20 06:36:00,68.7,high,40,3,Billing,Portal,Agent_Kumar,T3,No,,,No
TKT-0480,07-07-2024 12:04:00,12.0,07-09-2024 10:46:00,46.7,medium,40,3,Account,Chat,Agent_Chen,T1,No,,,No
TKT-0191,2024-03-25 15:58:00,100.7,2024-03-31 17:34:00,145.6,low,45,7,Technical,Email,Agent_Jones,T1,No,,,No
TKT-0024,11-21-2024 10:34:00,95.1,,,medium,40,3,Network,Portal,Agent_Kumar,T3,Yes,Internal,T1>T2,No
TKT-0014,2024-01-23 15:34:00,14.1,28/01/2024 19:34,124.0,low,45,7,Network,Email,Agent_Brown,T1,No,,,No
TKT-0143,08/08/2024 09:42,,08-10-2024 22:48:00,61.1,medium,40,3,Billing,Phone,Agent_Brown,T2,No,,,No
TKT-0068,04/05/2024 15:51,25.9,2024-05-06 20:27:00,52.6,high,40,3,Technical,Email,Agent_Ali,T2,No,,,No
TKT-0327,02-05-2024 11:40:00,25.3,2024-02-07 04:52:00,41.2,medium,40,3,Technical,Email,Agent_Patel,T1,No,,,No
TKT-0125,07-30-2024 08:11:00,,08-03-2024 08:05:00,95.9,low,45,7,Account,Phone,Agent_Ali,T2,Yes,Manager,T1>T2,No
TKT-0231,2024-07-27 15:35:00,57.0,28/07/2024 15:35,24.0,high,40,3,Billing,Portal,Agent_Chen,T1,No,,,No
TKT-0297,05-27-2024 15:56:00,7.1,30/05/2024 05:44,61.8,high,40,3,Hardware,Email,Agent_Chen,T1,No,,,Yes
TKT-0361,28/09/2024 16:58,99.8,28/09/2024 20:34,3.6,medium,40,3,Network,Portal,Agent_Jones,T1,No,,,No
TKT-0240,2024-04-28 09:46:00,10.2,2024-05-05 04:22:00,162.6,low,45,7,Technical,Email,Agent_Brown,T2,No,,,No
TKT-0372,10-14-2024 13:58:00,36.7,10-14-2024 21:34:00,7.6,low,45,7,Technical,Email,Agent_Smith,T1,No,,,No
TKT-0415,30/07/2024 13:52,76.1,2024-08-02 09:16:00,67.4,medium,40,3,Account,Chat,Agent_Ali,T1,No,,,No
TKT-0228,06-23-2024 12:56:00,,25/06/2024 13:20,48.4,medium,40,3,Network,Email,Agent_Jones,T1,No,,,No
TKT-0404,25/11/2024 08:03,15.6,2024-11-26 02:51:00,18.8,high,40,3,Account,Phone,Agent_Kumar,T2,No,,,Yes
TKT-0236,10-24-2024 13:30:00,52.4,2024-10-27 01:36:00,60.1,high,40,3,Network,Chat,Agent_Chen,T1,No,,,No
TKT-0325,07-13-2024 13:40:00,32.8,,,critical,15,1,Technical,Portal,Agent_Patel,T2,No,,,No
TKT-0095,05-13-2024 11:42:00,,17/05/2024 09:54,94.2,high,40,3,Network,Email,Agent_Smith,T3,No,,,No
TKT-0398,05-15-2024 08:08:00,,15/05/2024 17:20,9.2,medium,40,3,Network,Email,Agent_Ali,T1,No,,,No
TKT-0281,10-21-2024 17:01:00,6.6,10-24-2024 14:43:00,69.7,high,40,3,Account,Chat,Agent_Kumar,T1,No,,,No
TKT-0457,22/01/2024 14:01,69.8,,,low,45,7,Technical,Phone,Agent_Smith,T1,No,,,No
TKT-0010,23/12/2024 14:21,54.9,12-26-2024 05:57:00,63.6,high,40,3,Account,Chat,Agent_Ali,T1,No,,,No
TKT-0408,03-05-2024 12:39:00,26.0,2024-03-08 09:33:00,68.9,low,45,7,Technical,Phone,Agent_Kumar,T1,No,,,No
TKT-0210,07-22-2024 11:04:00,27.3,07-30-2024 05:58:00,186.9,low,45,7,Account,Portal,Agent_Ali,T2,No,,,No
TKT-0031,09-12-2024 14:56:00,25.9,09-14-2024 20:20:00,53.4,medium,40,3,Network,Email,Agent_Brown,T1,Yes,Customer Requested,T1>T3,No
TKT-0119,08/08/2024 10:02,92.4,08/08/2024 17:02,7.0,high,40,3,Network,Email,Agent_Sharma,T1,Yes,Manager,T1>T3,No
TKT-0490,22/03/2024 13:23,56.9,2024-03-23 21:23:00,32.0,high,40,3,Network,Chat,Agent_Chen,T1,No,,,Yes
TKT-0012,2024-02-22 09:24:00,40.0,23/02/2024 13:30,28.1,critical,15,1,Technical,Portal,Agent_Sharma,T2,No,,,No
TKT-0265,21/03/2024 08:26,67.7,23/03/2024 13:26,53.0,high,40,3,Billing,Email,Agent_Kumar,T1,No,,,No
TKT-0268,05-24-2024 15:04:00,23.2,05-27-2024 08:58:00,65.9,high,40,3,Network,Chat,Agent_Patel,T2,No,,,No
TKT-0078,2024-01-08 09:59:00,,,,low,45,7,Hardware,Phone,Agent_Brown,T3,Yes,Customer Requested,T2>T3,Yes
TKT-0190,08/12/2024 18:51,90.6,14/12/2024 19:51,145.0,low,45,7,Billing,Phone,Agent_Chen,T1,No,,,No
TKT-0229,2024-12-25 12:35:00,24.0,2024-12-30 01:29:00,108.9,high,40,3,Billing,Portal,Agent_Patel,T2,No,,,No
TKT-0424,12-06-2024 14:55:00,,12-07-2024 05:31:00,14.6,medium,40,3,Network,Email,Agent_Ali,T2,Yes,Internal,T2>T3,No
TKT-0180,27/12/2024 11:04,26.9,01-01-2025 05:58:00,114.9,low,45,7,Network,Chat,Agent_Smith,T1,No,,,No
TKT-0316,08-30-2024 14:24:00,14.5,08-31-2024 11:12:00,20.8,high,40,3,Technical,Chat,Agent_Patel,T2,No,,,No
TKT-0163,2024-07-15 15:25:00,72.6,07-18-2024 12:07:00,68.7,medium,40,3,Account,Email,Agent_Chen,T3,No,,,No
TKT-0328,2024-05-27 11:47:00,26.6,28/05/2024 20:23,32.6,medium,40,3,Technical,Phone,Agent_Brown,T1,No,,,No
TKT-0142,17/12/2024 18:12,,26/12/2024 09:48,207.6,low,45,7,Technical,Email,Agent_Ali,T1,No,,,No
TKT-0399,08-03-2024 16:07:00,37.8,2024-08-05 06:55:00,38.8,high,40,3,Billing,Chat,Agent_Kumar,T1,Yes,Customer Requested,T1>T3,No
TKT-0221,09-04-2024 15:27:00,36.2,,,high,40,3,Hardware,Portal,Agent_Chen,T1,No,,,No
TKT-0349,07-21-2024 12:00:00,29.5,2024-07-23 13:30:00,49.5,medium,40,3,Technical,Portal,Agent_Sharma,T2,No,,,No
TKT-0050,27/02/2024 13:56,30.1,03-03-2024 01:56:00,108.0,low,45,7,Network,Email,Agent_Kumar,T1,Yes,Manager,T1>T2,No
TKT-0393,2024-01-02 12:54:00,35.0,2024-01-03 16:54:00,28.0,medium,40,3,Network,Email,Agent_Jones,T2,No,,,No
TKT-0272,27/11/2024 10:58,94.9,2024-11-30 04:28:00,65.5,high,40,3,Network,Portal,Agent_Brown,T1,No,,,No
TKT-0005,2024-01-16 09:13:00,34.9,21/01/2024 14:43,125.5,low,45,7,Account,Phone,Agent_Ali,T3,No,,,No
TKT-0386,21/05/2024 11:07,47.5,05-24-2024 07:55:00,68.8,high,40,3,Billing,Email,Agent_Chen,T2,No,,,No
TKT-0339,24/08/2024 18:16,22.4,28/08/2024 22:34,100.3,medium,40,3,Account,Email,Agent_Jones,T2,No,,,No
TKT-0371,04-29-2024 15:01:00,,02/05/2024 04:01,61.0,low,45,7,Technical,Portal,Agent_Chen,T2,Yes,Customer Requested,T2>T3,No
TKT-0098,2024-08-22 13:59:00,,2024-08-23 02:23:00,12.4,medium,40,3,Billing,Email,Agent_Ali,T1,No,,,No
TKT-0189,05/09/2024 08:24,87.3,,,medium,40,3,Network,Email,Agent_Jones,T1,No,,,No
TKT-0407,2024-06-13 17:09:00,24.5,06-16-2024 19:27:00,74.3,medium,40,3,Network,Phone,Agent_Chen,T1,No,,,No
TKT-0298,09-05-2024 09:01:00,40.6,09-10-2024 07:01:00,118.0,low,45,7,Account,Email,Agent_Kumar,T2,No,,,No
TKT-0431,10-14-2024 17:39:00,103.8,10-16-2024 16:33:00,46.9,low,45,7,Billing,Chat,Agent_Patel,T1,Yes,Manager,T1>T2,No
TKT-0259,13/07/2024 15:58,82.3,15/07/2024 00:52,32.9,medium,40,3,Network,Email,Agent_Smith,T1,Yes,Internal,T2>T3,No
TKT-0415,30/07/2024 13:52,76.1,2024-08-02 09:16:00,67.4,medium,40,3,Account,Chat,Agent_Ali,T1,No,,,No
TKT-0033,06/05/2024 16:34,,05-07-2024 05:58:00,13.4,low,45,7,Hardware,Email,Agent_Brown,T1,No,,,No
TKT-0149,30/03/2024 17:36,101.2,04-07-2024 09:54:00,184.3,low,45,7,Network,Portal,Agent_Brown,T1,No,,,No
TKT-0340,10/05/2024 18:00,,05-12-2024 21:36:00,51.6,low,45,7,Account,Email,Agent_Ali,T1,No,,,No
TKT-0375,2024-02-29 10:02:00,30.2,2024-03-04 12:38:00,98.6,low,45,7,Billing,Email,Agent_Chen,T3,No,,,No
TKT-0394,2024-03-07 16:16:00,5.2,,,high,40,3,Technical,Chat,Agent_Kumar,T1,No,,,No
TKT-0070,08/08/2024 13:27,,08-09-2024 08:09:00,18.7,critical,15,1,Technical,Email,Agent_Jones,T1,No,,,No
TKT-0155,27/03/2024 18:05,13.1,29/03/2024 12:59,42.9,critical,15,1,Technical,Chat,Agent_Brown,T2,No,,,No
TKT-0382,17/01/2024 13:13,7.9,2024-01-18 04:55:00,15.7,high,40,3,Account,Chat,Agent_Kumar,T1,No,,,No
TKT-0004,2024-02-14 17:27:00,62.0,02-16-2024 06:39:00,37.2,medium,40,3,Network,Phone,Agent_Kumar,T1,No,,,No
TKT-0105,09-27-2024 08:42:00,72.1,,,critical,15,1,Billing,Portal,Agent_Chen,T3,No,,,No
TKT-0440,06-08-2024 13:49:00,84.8,10/06/2024 19:13,53.4,low,45,7,Account,Phone,Agent_Smith,T2,No,,,No
TKT-0053,2024-02-05 16:49:00,5.3,2024-02-06 01:07:00,8.3,critical,15,1,Account,Portal,Agent_Kumar,T1,No,,,No
TKT-0491,17/07/2024 14:49,18.5,07-17-2024 17:49:00,3.0,medium,40,3,Network,Email,Agent_Patel,T2,Yes,Manager,T2>T3,No
TKT-0074,2024-04-07 16:28:00,,2024-04-07 23:46:00,7.3,high,40,3,Account,Email,Agent_Brown,T2,No,,,No
TKT-0222,2024-10-30 12:20:00,,02/11/2024 06:38,66.3,medium,40,3,Billing,Email,Agent_Sharma,T2,No,,,No
TKT-0274,06-06-2024 17:47:00,11.7,06-07-2024 14:11:00,20.4,critical,15,1,Technical,Email,Agent_Patel,T1,No,,,No
TKT-0100,2024-02-21 09:34:00,95.6,28/02/2024 19:22,177.8,low,45,7,Billing,Chat,Agent_Brown,T2,No,,,Yes
TKT-0027,2024-04-22 18:20:00,62.3,2024-04-24 22:20:00,52.0,low,45,7,Technical,Portal,Agent_Ali,T2,No,,,No
TKT-0148,08-03-2024 18:24:00,,2024-08-06 08:06:00,61.7,medium,40,3,Account,Phone,Agent_Smith,T1,No,,,Yes
TKT-0350,12-17-2024 08:58:00,20.6,18/12/2024 08:04,23.1,medium,40,3,Account,Email,Agent_Brown,T1,No,,,No
TKT-0154,04-19-2024 16:30:00,,,,medium,40,3,Account,Phone,Agent_Ali,T1,Yes,Manager,T2>T3,No
TKT-0355,11-17-2024 09:57:00,28.2,2024-11-25 00:51:00,182.9,low,45,7,Billing,Chat,Agent_Ali,T2,No,,,Yes
TKT-0418,05-10-2024 13:09:00,21.8,2024-05-13 19:21:00,78.2,medium,40,3,Hardware,Email,Agent_Jones,T1,No,,,No
TKT-0208,23/10/2024 08:59,,,,high,40,3,Network,Chat,Agent_Brown,T1,Yes,Manager,T2>T3,No
TKT-0257,10-12-2024 14:38:00,8.7,2024-10-14 17:56:00,51.3,critical,15,1,Account,Email,Agent_Chen,T1,Yes,Internal,T1>T3,No
TKT-0001,11-23-2024 09:01:00,9.3,11-27-2024 17:37:00,104.6,medium,40,3,Account,Email,Agent_Sharma,T1,No,,,Yes
TKT-0435,2024-06-28 08:11:00,7.3,07-04-2024 00:11:00,136.0,low,45,7,Billing,Email,Agent_Sharma,T2,No,,,No
TKT-0307,2024-09-17 10:55:00,33.2,09-21-2024 21:31:00,106.6,medium,40,3,Hardware,Phone,Agent_Jones,T1,No,,,No
TKT-0220,11-29-2024 12:39:00,22.9,2024-11-30 18:21:00,29.7,high,40,3,Account,Email,Agent_Sharma,T1,No,,,No
TKT-0395,2024-02-26 18:55:00,28.9,2024-02-28 19:49:00,48.9,medium,40,3,Account,Email,Agent_Smith,T1,No,,,Yes
TKT-0468,06-27-2024 13:46:00,32.7,2024-06-27 18:04:00,4.3,high,40,3,Technical,Chat,Agent_Jones,T1,No,,,No
TKT-0479,2024-08-24 15:02:00,5.2,,,critical,15,1,Technical,Phone,Agent_Kumar,T1,Yes,Internal,T1>T3,No
TKT-0446,20/04/2024 16:07,11.3,23/04/2024 03:55,59.8,critical,15,1,Billing,Email,Agent_Chen,T1,No,,,No
TKT-0384,02-20-2024 18:23:00,22.7,2024-02-25 01:23:00,103.0,high,40,3,Billing,Email,Agent_Patel,T1,No,,,No
TKT-0450,2024-07-21 17:03:00,,24/07/2024 07:39,62.6,low,45,7,Account,Phone,Agent_Sharma,T1,No,,,No
TKT-0227,18/04/2024 13:51,,2024-04-19 23:51:00,34.0,critical,15,1,Billing,Chat,Agent_Ali,T1,No,,,No
TKT-0113,2024-01-23 08:21:00,6.9,2024-01-23 11:09:00,2.8,critical,15,1,Account,Email,Agent_Jones,T1,No,,,No
TKT-0380,2024-03-20 14:41:00,31.9,2024-03-28 20:23:00,197.7,low,45,7,Billing,Chat,Agent_Chen,T1,No,,,No
TKT-0365,12-12-2024 18:25:00,11.1,12-13-2024 10:01:00,15.6,critical,15,1,Technical,Phone,Agent_Sharma,T2,Yes,Customer Requested,T2>T3,No
TKT-0292,09-20-2024 08:42:00,95.0,2024-09-25 12:30:00,123.8,low,45,7,Account,Email,Agent_Sharma,T1,No,,,No
TKT-0306,03-15-2024 14:12:00,7.2,03-16-2024 02:00:00,11.8,critical,15,1,Account,Portal,Agent_Ali,T2,No,,,No
TKT-0002,2024-05-20 11:14:00,14.0,05-22-2024 21:50:00,58.6,critical,15,1,Technical,Chat,Agent_Jones,T1,No,,,No
TKT-0081,25/03/2024 14:00,55.2,2024-03-29 05:54:00,87.9,high,40,3,Technical,Phone,Agent_Brown,T3,No,,,No
TKT-0266,18/12/2024 17:30,18.2,19/12/2024 07:36,14.1,high,40,3,Account,Email,Agent_Sharma,T1,No,,,No
TKT-0484,11-29-2024 11:20:00,93.9,11-30-2024 05:56:00,18.6,medium,40,3,Billing,Email,Agent_Ali,T2,Yes,Internal,T1>T3,No
TKT-0315,29/04/2024 14:02,14.2,2024-05-01 22:44:00,56.7,high,40,3,Network,Chat,Agent_Patel,T1,Yes,Internal,T2>T3,No
TKT-0219,08-10-2024 10:46:00,28.1,08-12-2024 18:16:00,55.5,medium,40,3,Billing,Phone,Agent_Ali,T1,No,,,No
TKT-0198,2024-05-22 14:16:00,26.8,25/05/2024 10:52,68.6,high,40,3,Account,Portal,Agent_Ali,T1,Yes,Internal,T1>T3,No
TKT-0461,01-11-2024 13:10:00,55.2,16/01/2024 10:28,117.3,low,45,7,Billing,Chat,Agent_Kumar,T2,No,,,No
TKT-0286,27/06/2024 14:21,34.8,2024-06-27 19:33:00,5.2,low,45,7,Hardware,Chat,Agent_Kumar,T1,No,,,No
TKT-0218,2024-11-21 15:45:00,32.3,2024-11-22 12:33:00,20.8,high,40,3,Hardware,Phone,Agent_Sharma,T1,No,,,Yes
TKT-0008,08-02-2024 11:28:00,22.9,08-03-2024 23:10:00,35.7,high,40,3,Network,Phone,Agent_Smith,T1,No,,,No
TKT-0460,01/08/2024 12:07,34.5,2024-08-03 22:07:00,58.0,low,45,7,Account,Phone,Agent_Kumar,T3,No,,,No
TKT-0023,12-15-2024 18:04:00,25.0,2024-12-21 07:10:00,133.1,low,45,7,Hardware,Portal,Agent_Jones,T2,No,,,No
TKT-0301,2024-07-27 09:14:00,24.6,08-05-2024 07:32:00,214.3,low,45,7,Account,Email,Agent_Chen,T1,No,,,No
TKT-0013,02/07/2024 13:38,25.8,2024-07-07 10:26:00,116.8,high,40,3,Hardware,Portal,Agent_Ali,T1,No,,,No
TKT-0333,30/05/2024 13:23,35.6,03/06/2024 19:05,101.7,low,45,7,Billing,Email,Agent_Jones,T1,No,,,No
TKT-0487,2024-02-13 16:41:00,26.3,14/02/2024 02:35,9.9,low,45,7,Account,Chat,Agent_Chen,T2,No,,,No
TKT-0217,07/09/2024 09:27,28.9,2024-09-12 01:39:00,112.2,medium,40,3,Network,Email,Agent_Patel,T1,No,,,No
TKT-0090,02-05-2024 17:04:00,10.9,09/02/2024 17:52,96.8,medium,40,3,Billing,Email,Agent_Kumar,T1,No,,,No
TKT-0172,16/08/2024 10:47,32.5,2024-08-18 13:17:00,50.5,low,45,7,Network,Portal,Agent_Brown,T1,No,,,Yes
TKT-0498,06-07-2024 18:44:00,17.1,2024-06-09 22:08:00,51.4,low,45,7,Billing,Chat,Agent_Brown,T2,No,,,No
TKT-0309,05-16-2024 08:18:00,6.1,17/05/2024 13:30,29.2,high,40,3,Technical,Email,Agent_Ali,T2,No,,,Yes
TKT-0496,2024-11-04 10:21:00,10.3,06/11/2024 00:45,38.4,medium,40,3,Billing,Phone,Agent_Ali,T1,No,,,No
TKT-0145,06-02-2024 16:19:00,83.1,11/06/2024 15:07,214.8,low,45,7,Billing,Email,Agent_Patel,T1,No,,,No
TKT-0378,08-20-2024 13:42:00,26.8,29/08/2024 08:18,210.6,low,45,7,Account,Chat,Agent_Sharma,T1,Yes,Customer Requested,T1>T2,No
TKT-0464,24/07/2024 16:05,92.3,26/07/2024 07:59,39.9,medium,40,3,Technical,Phone,Agent_Kumar,T3,No,,,No
TKT-0347,07-02-2024 17:18:00,54.2,03/07/2024 10:42,17.4,medium,40,3,Billing,Email,Agent_Chen,T1,No,,,No
TKT-0009,2024-05-22 08:48:00,26.0,24/05/2024 01:30,40.7,medium,40,3,Hardware,Email,Agent_Kumar,T1,Yes,Manager,T2>T3,No
TKT-0279,09/08/2024 13:38,32.3,08-12-2024 08:08:00,66.5,high,40,3,Account,Email,Agent_Sharma,T1,No,,,Yes
TKT-0276,18/12/2024 12:44,13.1,21/12/2024 09:14,68.5,medium,40,3,Billing,Email,Agent_Chen,T1,Yes,Manager,T1>T2,No
TKT-0197,16/06/2024 13:48,36.6,16/06/2024 23:54,10.1,high,40,3,Technical,Portal,Agent_Sharma,T1,No,,,No
TKT-0263,2024-05-15 18:05:00,14.4,21/05/2024 12:53,138.8,low,45,7,Billing,Email,Agent_Smith,T3,No,,,No
TKT-0044,2024-01-02 12:32:00,,02/01/2024 14:38,2.1,critical,15,1,Account,Chat,Agent_Ali,T2,No,,,No
TKT-0099,01-05-2024 15:39:00,75.6,12/01/2024 18:33,170.9,low,45,7,Billing,Phone,Agent_Jones,T2,No,,,No
TKT-0485,2024-08-31 16:09:00,,2024-09-04 01:51:00,81.7,medium,40,3,Account,Email,Agent_Chen,T2,No,,,No
TKT-0426,06-29-2024 09:36:00,89.7,,,medium,40,3,Billing,Portal,Agent_Jones,T2,No,,,No
TKT-0184,2024-10-21 14:30:00,28.2,10-24-2024 07:24:00,64.9,high,40,3,Account,Portal,Agent_Sharma,T2,No,,,No
TKT-0323,2024-12-20 14:41:00,31.9,12-23-2024 09:29:00,66.8,high,40,3,Technical,Portal,Agent_Brown,T1,No,,,No
TKT-0101,16/09/2024 12:08,34.9,2024-09-25 09:26:00,213.3,low,45,7,Billing,Email,Agent_Patel,T1,No,,,No
TKT-0421,2024-07-09 10:35:00,20.0,11/07/2024 09:29,46.9,high,40,3,Network,Email,Agent_Patel,T2,No,,,No
